ID,CASO,APLICACION,ORIGEN,CATEGORÍA,RESOLUCION,RESUMEN,ESTADO,ASIGNADOA,CASO AUTORIZADOR,ESCALADO INTERNAMENTE,FEC_CREACION,MODIFICADOPOR,FEC_MODIFICACION
"5432","00524660","Conexo","SalesForce","GNL - Solicitud a IT","Error Sistema","Novedad bono sodexo ""Bono es mayor a la compra"" piloto en PRD del Proyecto Evolución POS","Reabierto","Castro Steven",,"[]","19/12/2022 2:43 p. m.","VargasD Wilmer","2/03/2023 11:19 a. m."
"7206","00563208","Condor","SalesForce","GNL - Transmisiones","Error Usuario",,"Solucionado","VargasD Wilmer",,"[]","2/03/2023 10:51 a. m.","VargasD Wilmer","2/03/2023 11:05 a. m."
"7204","00563113","Andes","SalesForce","GNL - Contratos","Actualización BD","Activacion contrato producto","Solucionado","Castro AndresF",,"[]","2/03/2023 10:36 a. m.","Castro AndresF","2/03/2023 10:42 a. m."
"7128","00561283","Condor","SalesForce","GNL - Transmisiones","Error Autorizador","Tarjeta papeleria incompleta","Solucionado","Castro Steven","PIM-15234 [WV][SF 00561283] Bloqueo tarjeta","[]","27/02/2023 9:48 a. m.","Castro Steven","2/03/2023 10:34 a. m."
"7191","00562739","Andes","SalesForce","GNL - Solicitud a IT","Consulta Información","Consulta bono.","Solucionado","Castro Steven",,"[]","1/03/2023 12:52 p. m.","Castro Steven","2/03/2023 10:01 a. m."
"7185","WIZ-6177","Wizeo","JIRA","GNL - Solicitud a IT","Actualización BD","SOLICITUD USUARIO PARA CARGAS MANUALES (VPOS)","Solucionado","Castro Steven",,"[]","1/03/2023 11:08 a. m.","Castro Steven","2/03/2023 8:41 a. m."
"7198","00563053",,"SalesForce","GNL - Solicitud a IT",,,"Nuevo",,,"[]","2/03/2023 8:30 a. m.","VargasD Wilmer","2/03/2023 8:30 a. m."
"7197","00562987","Condor","SalesForce","GNL - Transmisiones","Error Servicio",,"Solucionado","VargasD Wilmer",,"[]","1/03/2023 5:29 p. m.","VargasD Wilmer","2/03/2023 8:08 a. m."
"7190","00562731","Condor","SalesForce","Novedades Monetarias","Error Autorizador","Novedad sin confirmación","Solucionado","Castro Steven",,"[]","1/03/2023 12:45 p. m.","Castro Steven","1/03/2023 5:53 p. m."
"7188","00561419","Sodexo Club","SalesForce","SdxClub - Error SdxConnect","Error Servicio","Error al registrarse.","Solucionado",,,"[]","1/03/2023 11:44 a. m.","Castro Steven","1/03/2023 5:50 p. m."
"7179","00562485","Condor","SalesForce","GNL - Facturación","Error Sistema","Error al facturar","Devuelto","Castro Steven",,"[]","1/03/2023 8:38 a. m.","Castro Steven","1/03/2023 5:39 p. m."
"7178","00562473","Condor","SalesForce","GNL - Facturación","Error Servicio","Error al facturar","Devuelto","Castro Steven",,"[]","1/03/2023 8:34 a. m.","Castro Steven","1/03/2023 5:33 p. m."
"7177","00562441","Sodexo Express","SalesForce","Error Creando Pedido","Error Sistema","Error 400","Solucionado","Castro Steven",,"[]","1/03/2023 8:09 a. m.","Castro Steven","1/03/2023 5:24 p. m."
"7176","00562439","Pedidos en Linea","SalesForce","GNL - Facturación","Error Sistema","Error al facturar","Solucionado","Castro Steven",,"[]","1/03/2023 8:00 a. m.","Castro Steven","1/03/2023 5:17 p. m."
"7195","00558157","Conexo","SalesForce","GNL - Error en Procesos","Error por migración","Error por algoritmo no valido","Solucionado","VargasD Wilmer",,"[]","1/03/2023 4:22 p. m.","VargasD Wilmer","1/03/2023 4:22 p. m."
"7194","00562884","Condor","SalesForce","GNL - Transmisiones","Error Servicio",,"Solucionado","VargasD Wilmer",,"[]","1/03/2023 3:55 p. m.","VargasD Wilmer","1/03/2023 4:17 p. m."
"7154","00561814","Andes","SalesForce","Bonos - Reenvío Chequeras","Actualización BD","Reenvio de chequera","Solucionado","Castro AndresF",,"[]","28/02/2023 8:13 a. m.","Castro AndresF","1/03/2023 4:13 p. m."
"7166","00562064","Andes","SalesForce","Bonos - Reenvío Chequeras","Actualización BD","Reenvio de bonos","Solucionado","Castro AndresF",,"[]","28/02/2023 11:59 a. m.","Castro AndresF","1/03/2023 3:48 p. m."
"7193","00562852","Condor","SalesForce","GNL - Cargas","Actualización BD","Ajuste de fecha de carga","Solucionado","Castro AndresF",,"[]","1/03/2023 3:21 p. m.","Castro AndresF","1/03/2023 3:35 p. m."
"7127","00560946","Condor","SalesForce","GNL - Saldo y Movimientos","Error Validación","Validacion de saldos y movimientos","Solucionado","Castro AndresF",,"[]","27/02/2023 9:17 a. m.","VargasD Wilmer","1/03/2023 11:46 a. m."
"7186","00519455",,"SalesForce","GNL - Solicitud a IT",,,"Nuevo",,,"[]","1/03/2023 11:18 a. m.","VargasD Wilmer","1/03/2023 11:18 a. m."
"7142","00561568","Condor","SalesForce","GNL - Transmisiones","Actualización BD",,"Solucionado","VargasD Wilmer",,"[]","27/02/2023 2:34 p. m.","VargasD Wilmer","1/03/2023 11:12 a. m."
"7184","WIZ-6186","Wizeo","JIRA","GNL - Solicitud a IT","Actualización BD","Activar CUC","Solucionado","Castro Steven",,"[]","1/03/2023 11:00 a. m.","Castro Steven","1/03/2023 11:00 a. m."
"7180","00562491","Sodexo Express","SalesForce","GNL - Migración Datos","Error Validación","Migración de cliente","Devuelto","Castro Steven",,"[]","1/03/2023 8:45 a. m.","Castro Steven","1/03/2023 10:43 a. m."
"7183","342605","Business Central","SysAid","GNL - Usuarios","Permisos de rol","Adición de permisos en informes para Planeación Financiera","Solucionado","Riera Franklin",,"[]","1/03/2023 10:43 a. m.","Riera Franklin","1/03/2023 10:43 a. m."
"7175","00562417","Condor","SalesForce","GNL - Solicitud a IT","Consulta Información","Consulta tarjeta","Solucionado","Castro Steven",,"[]","28/02/2023 6:50 p. m.","Castro Steven","1/03/2023 10:11 a. m."
"7182","00561304","Sodexo Club","SalesForce","SdxClub - Error SdxConnect","Error Sistema","Error al registrarse","Solucionado","Castro Steven",,"[]","1/03/2023 9:30 a. m.","Castro Steven","1/03/2023 9:48 a. m."
"7181","00562512",,"SalesForce","GNL - Solicitud a IT",,,"Nuevo",,,"[]","1/03/2023 9:01 a. m.","VargasD Wilmer","1/03/2023 9:01 a. m."
"7174","00562341","Sodexo Club","SalesForce","SdxClub - Error SdxConnect","Error Servicio","Error al registrarse,","Solucionado","Castro Steven",,"[]","28/02/2023 4:44 p. m.","Castro Steven","28/02/2023 6:01 p. m."
"7171","00562230","Sodexo Express","SalesForce","GNL - Usuarios","Error Sistema","Error al ingresar.","Solucionado","Castro Steven",,"[]","28/02/2023 3:25 p. m.","Castro Steven","28/02/2023 5:54 p. m."
"7168","00561748","Sodexo Express","SalesForce","GNL - Cargas","Error Sistema","Tarjeta sin carga","Solucionado","Castro Steven",,"[]","28/02/2023 1:57 p. m.","Castro Steven","28/02/2023 5:40 p. m."
"6961","00557687","Sodexo Express","SalesForce","Error Pedido Procesado","Error Sistema","hizo falta 1 tarjeta","Solucionado","Castro Steven",,"[]","17/02/2023 2:12 p. m.","Castro Steven","28/02/2023 5:20 p. m."
"7173","00562284","Andes","SalesForce","Bonos - Reenvío Chequeras","Actualización BD","Reenvio de bonos","Solucionado","Castro AndresF",,"[]","28/02/2023 3:55 p. m.","Castro AndresF","28/02/2023 5:06 p. m."
"6803","00554256","Condor","SalesForce","GNL - Solicitud a IT","Error Servicio",,"Solucionado","Riera Franklin",,"[]","10/02/2023 10:47 a. m.","VargasD Wilmer","28/02/2023 4:53 p. m."
"7118","00560560","Sodexo Express","SalesForce","GNL - Usuarios","Error por migración","En la migración no le marco el producto al nuevo usuario. ","Solucionado","VargasD Wilmer",,"[]","24/02/2023 4:39 p. m.","VargasD Wilmer","28/02/2023 4:27 p. m."
"7172","00558515","Sodexo Club","SalesForce","GNL - Solicitud a IT","Actualización BD","Saldo no disponible en app","Solucionado","Castro AndresF",,"[]","28/02/2023 3:38 p. m.","Castro AndresF","28/02/2023 4:07 p. m."
"7169","00561976","Andes","SalesForce","Bonos - Reenvío Chequeras","Consulta Información","Falta aurotizacion","Solucionado","Castro AndresF",,"[]","28/02/2023 2:01 p. m.","Castro AndresF","28/02/2023 3:46 p. m."
"7159","00561911","Condor","SalesForce","GNL - Transmisiones","Error Usuario","Adelanto papelería tarjetas","Solucionado","VargasD Wilmer",,"[]","28/02/2023 9:59 a. m.","VargasD Wilmer","28/02/2023 3:44 p. m."
"7110","00560889","Sodexo Express","SalesForce","GNL - Cargas","Error Sistema","Cargas dobles","Solucionado","VargasD Wilmer",,"[]","24/02/2023 1:00 p. m.","VargasD Wilmer","28/02/2023 3:33 p. m."
"7167","00561832","Condor","SalesForce","Tarjetas - Emboce","Error Autorizador","Pedido confirmado incompleto, se procesan las tarjetas pendientes","Devuelto","VargasD Wilmer","PIM-14660","[]","28/02/2023 12:06 p. m.","VargasD Wilmer","28/02/2023 3:26 p. m."
"7157","00561872","Condor","SalesForce","GNL - Facturación","Error Servicio","Cliente no migra a BC","Solucionado","VargasD Wilmer",,"[]","28/02/2023 9:19 a. m.","VargasD Wilmer","28/02/2023 3:04 p. m."
"7170","00562015","Andes","SalesForce","Bonos - Reenvío Chequeras","Actualización BD","Actualizacion de correo y reenvio de bonos","Solucionado","Castro AndresF",,"[]","28/02/2023 2:11 p. m.","Castro AndresF","28/02/2023 3:01 p. m."
"7147","00561653","Sodexo Express","SalesForce","GNL - Cargas","Error Autorizador",,"Solucionado","VargasD Wilmer","PIM-15320","[]","27/02/2023 3:50 p. m.","VargasD Wilmer","28/02/2023 2:55 p. m."
"7164","00562028","Conexo","SalesForce","GNL - Usuarios","Actualización BD","Usuario erroneo","Solucionado","Castro AndresF",,"[]","28/02/2023 11:40 a. m.","Castro AndresF","28/02/2023 2:20 p. m."
"6988","00558108","Condor","SalesForce","Error Pedido Procesado","Error Autorizador","Pedido de tarjeta sin emboce","Solucionado","Castro Steven","PIM-14469 [vc] Pedidos de tarjeta sin confirmación 13-02-2023
PIM-15007 [WV][SF 00558108] Bloqueo tarjeta","[]","20/02/2023 9:30 a. m.","VargasD Wilmer","28/02/2023 2:10 p. m."
"7165","342467","Andes","SysAid","GNL - Reportes","Consulta Información","Reporte de todos los clientes activos con fecha de creación, primer y último pedido ","Solucionado","Riera Franklin",,"[]","28/02/2023 11:52 a. m.","Riera Franklin","28/02/2023 11:52 a. m."
"7143","00561506","Conexo","SalesForce","Conexo - Error","Error Sistema","Error al reembolsar.","Devuelto","Castro Steven",,"[]","27/02/2023 2:35 p. m.","Castro Steven","28/02/2023 11:28 a. m."
"7163","342598","Andes","SysAid","GNL - Facturación","Error Servicio",,"Solucionado","VargasD Wilmer",,"[]","28/02/2023 11:24 a. m.","VargasD Wilmer","28/02/2023 11:24 a. m."
"7152","00561803","Condor","SalesForce","GNL - Transmisiones","Error Sistema","Pedido sin emboce.","Solucionado","Castro Steven",,"[]","28/02/2023 7:56 a. m.","Castro Steven","28/02/2023 11:04 a. m."
"7161","00561962","Andes","SalesForce","Bonos - Reenvío Chequeras","Actualización BD","Reenvio de bonos","Solucionado","Castro AndresF",,"[]","28/02/2023 10:42 a. m.","Castro AndresF","28/02/2023 10:59 a. m."
"7131","00561024","Condor","SalesForce","GNL - Solicitud a IT","Actualización BD","Actualizacion de razon social","Solucionado","Castro AndresF",,"[]","27/02/2023 11:07 a. m.","Castro AndresF","28/02/2023 10:48 a. m."
"7132","00559890","Condor","SalesForce","GNL - Solicitud a IT","Consulta Información","Validacion de informacion de direcciones","Solucionado","Castro AndresF",,"[]","27/02/2023 11:10 a. m.","Castro AndresF","28/02/2023 10:44 a. m."
"7158","00561882","Condor","SalesForce","GNL - Transmisiones","Error Autorizador","pedido sin emboce.","Solucionado","Castro Steven",,"[]","28/02/2023 9:34 a. m.","Castro Steven","28/02/2023 10:16 a. m."
"7160","00561906","Condor","SalesForce","GNL - Transmisiones","Consulta Información","Validacion archivo COA","Solucionado","Castro AndresF",,"[]","28/02/2023 9:59 a. m.","Castro AndresF","28/02/2023 10:11 a. m."
"7079","00559772","Condor","SalesForce","GNL - Reportes","Consulta Información","Listado de clientes nuevos ingresados por Hunter en este FY2023","Solucionado","Castro Steven",,"[]","22/02/2023 4:36 p. m.","Castro Steven","28/02/2023 9:04 a. m."
"7145","00561492","Andes","SalesForce","Bonos - Reenvío Chequeras","Actualización BD","Reenvio de bonos","Solucionado","Castro AndresF",,"[]","27/02/2023 2:44 p. m.","Castro AndresF","28/02/2023 9:02 a. m."
"7153","00561807","Sodexo Express","SalesForce","GNL - Usuarios","Error Sistema","Error correo usuario.","Solucionado","Castro Steven",,"[]","28/02/2023 7:58 a. m.","Castro Steven","28/02/2023 8:59 a. m."
"7151","00556623","Andes","SalesForce","Bonos - Reenvío Chequeras","Actualización BD","Reenvio de chequera","Solucionado","Castro AndresF",,"[]","27/02/2023 5:30 p. m.","Castro AndresF","28/02/2023 8:58 a. m."
"7056","WIZ-6092","Wizeo","JIRA","GNL - Solicitud a IT","Error Sistema","ERROR EN GENERACION REPORTES PDF","Solucionado","Castro Steven","Escalado a equipo de Brasil","[]","22/02/2023 8:57 a. m.","Castro Steven","28/02/2023 8:41 a. m."
"7139","00561502","Condor","SalesForce","GNL - Solicitud a IT","Información Incompleta","Consulta tarjeta","Devuelto","Castro Steven",,"[]","27/02/2023 1:01 p. m.","Castro Steven","28/02/2023 8:35 a. m."
"6775","00553094","Condor","SalesForce","Novedades Monetarias","Error Autorizador","Nodevades monetarios sin confirmacion","Devuelto","Castro AndresF","PIM-14316","[]","9/02/2023 11:43 a. m.","Castro Steven","27/02/2023 5:34 p. m."
"7149","00561691","Condor","SalesForce","GNL - Facturación","Consulta Información",,"Devuelto","VargasD Wilmer",,"[]","27/02/2023 4:17 p. m.","VargasD Wilmer","27/02/2023 4:37 p. m."
"7150","00559818","Condor","SalesForce","Error Integración","Error Validación",,"Devuelto","Castro Steven",,"[]","27/02/2023 4:30 p. m.","Castro Steven","27/02/2023 4:30 p. m."
"6740","00552695","Condor","SalesForce","GNL - Usuarios","Actualización BD","Retiro de beneficiarios con altas o recargas pendientes por procesar","Solucionado","Castro AndresF",,"[]","8/02/2023 10:54 a. m.","Castro Steven","27/02/2023 4:23 p. m."
"7148","00561681",,"SalesForce","GNL - Solicitud a IT",,,"Nuevo",,,"[]","27/02/2023 4:14 p. m.","VargasD Wilmer","27/02/2023 4:14 p. m."
"7138","00561460","Condor","SalesForce","GNL - Solicitud a IT","Error por migración","Reverso migración","Solucionado","VargasD Wilmer",,"[]","27/02/2023 12:59 p. m.","VargasD Wilmer","27/02/2023 4:04 p. m."
"7134","00561440","Condor","SalesForce","GNL - Facturación","Error Servicio","Error 400","Solucionado","VargasD Wilmer",,"[]","27/02/2023 11:50 a. m.","VargasD Wilmer","27/02/2023 3:53 p. m."
"7103","00560221","Condor","SalesForce","GNL - Solicitud a IT","Consulta Información","Saldo tarjeta bloqueada","Solucionado","Castro Steven","PIM-15154 [WV 00554342] Retirar saldo y bloquear tarjeta","[]","24/02/2023 8:02 a. m.","VargasD Wilmer","27/02/2023 3:25 p. m."
"7146","00561609","Condor","SalesForce","GNL - Facturación","Error Servicio","Error por millesime mensual","Solucionado","VargasD Wilmer",,"[]","27/02/2023 3:08 p. m.","VargasD Wilmer","27/02/2023 3:17 p. m."
"7144","342510","Condor","SysAid","GNL - Reportes","Consulta Información","Reporte de transacciones de tarjeta año 2022","Solucionado","Riera Franklin",,"[]","27/02/2023 2:44 p. m.","Riera Franklin","27/02/2023 2:44 p. m."
"7107","00558551","Condor","SalesForce","Error Pedido Procesado","Error Autorizador","Pedido sin emboce","Solucionado","Castro Steven","PIM-15143 [WV][SF 00558551] Bloqueo tarjeta","[]","24/02/2023 10:16 a. m.","VargasD Wilmer","27/02/2023 1:25 p. m."
"7140","342589","Andes","SysAid","GNL - Facturación","Error Sistema",,"Solucionado","VargasD Wilmer",,"[]","27/02/2023 1:12 p. m.","VargasD Wilmer","27/02/2023 1:12 p. m."
"7137","00558483","Andes","SalesForce","GNL - Solicitud a IT","Consulta Información",,"Devuelto","VargasD Wilmer",,"[]","27/02/2023 12:48 p. m.","VargasD Wilmer","27/02/2023 12:48 p. m."
"7135","00540650",,"SalesForce","GNL - Solicitud a IT",,,"Nuevo",,,"[]","27/02/2023 12:15 p. m.","VargasD Wilmer","27/02/2023 12:15 p. m."
"7133","00558898","Condor","SalesForce","GNL - Solicitud a IT","Actualización BD","Actualizacion de razon social","Solucionado","Castro AndresF",,"[]","27/02/2023 11:11 a. m.","Castro AndresF","27/02/2023 12:12 p. m."
"7130","00561351","Condor","SalesForce","Condor - Error","Error Sistema","Error al inactivar contacto","Solucionado","Castro Steven",,"[]","27/02/2023 10:35 a. m.","Castro Steven","27/02/2023 11:16 a. m."
"4600","WIZ-4812","Wizeo","JIRA","GNL - Solicitud a IT","Error Sistema","Cobro comision erronea eds 2559","Solucionado","Castro Steven","Escalado a equipo de Brasil","[]","11/11/2022 12:04 p. m.","Castro Steven","27/02/2023 11:07 a. m."
"7059","WIZ-6094","Wizeo","JIRA","GNL - Solicitud a IT","Actualización BD","Creación Usuario Jira Geraldine Acosta","Solucionado","Castro Steven","Escalado a Equipo de Brasil","[]","22/02/2023 9:06 a. m.","Castro Steven","27/02/2023 11:06 a. m."
"6628","00549251","Sodexo Express","SalesForce","Error Pedido Procesado","Error Autorizador","Pedido de tarjeta sin confirmacion","Solucionado","Castro Steven","PIM-13867 [WV] Pedidos de tarjeta sin confirmación 02 de febrero de 2023","[]","2/02/2023 6:13 p. m.","Castro Steven","27/02/2023 10:55 a. m."
"7121","00561174","Conexo","SalesForce","GNL - Transmisiones","Error Servicio","Conciliación Almacenes Éxito","Solucionado","VargasD Wilmer",,"[]","27/02/2023 7:45 a. m.","VargasD Wilmer","27/02/2023 10:45 a. m."
"6980","00554720","Condor","SalesForce","Condor - Error","Error Autorizador","Error al usar la tarjeta","Solucionado","Castro Steven","PIM-14880 [SC 00554720] Validar Tarjeta 6089442010221450","[]","20/02/2023 8:35 a. m.","Castro Steven","27/02/2023 10:39 a. m."
"7129","00561306","Condor","SalesForce","GNL - Transmisiones","Error Servicio",,"Solucionado","VargasD Wilmer",,"[]","27/02/2023 10:11 a. m.","VargasD Wilmer","27/02/2023 10:16 a. m."
"7122","00561203","Condor","SalesForce","GNL - Facturación","Error Servicio","Error al facturar","Solucionado","Castro Steven",,"[]","27/02/2023 8:19 a. m.","Castro Steven","27/02/2023 10:04 a. m."
"7126","00561245","Andes","SalesForce","Bonos - Reenvío Chequeras","Actualización BD","Actualizacion de correo y reenvio de bonos","Solucionado","Castro AndresF",,"[]","27/02/2023 9:13 a. m.","Castro AndresF","27/02/2023 9:24 a. m."
"7123","00561196","Andes","SalesForce","Bonos - Reenvío Chequeras","Actualización BD","Reenvio de bonos","Solucionado","Castro AndresF",,"[]","27/02/2023 8:39 a. m.","Castro AndresF","27/02/2023 9:12 a. m."
"5587","00523873","Business Central","SalesForce","GNL - Contratos","Error Datos","NC no migrada","Devuelto","VargasD Wilmer",,"[]","22/12/2022 3:22 p. m.","VargasD Wilmer","27/02/2023 9:11 a. m."
"7124","00559362",,"SalesForce","GNL - Solicitud a IT",,,"Nuevo",,,"[]","27/02/2023 9:07 a. m.","VargasD Wilmer","27/02/2023 9:07 a. m."
"7120","00561067","Andes","SalesForce","Bonos - Reenvío Chequeras","Actualización BD","Reenvio de bonos","Solucionado","Castro AndresF",,"[]","24/02/2023 5:26 p. m.","Castro AndresF","24/02/2023 5:40 p. m."
"7115","00560693","Andes","SalesForce","Bonos - Reenvío Chequeras","Actualización BD","Reenvio de bonos","Solucionado","Castro AndresF",,"[]","24/02/2023 2:36 p. m.","Castro AndresF","24/02/2023 5:32 p. m."
